ID;Crossing;Programme;Group;Duration;Start_green;End_green;Crossing_programme;Day_of_week;End_hour;End_minute;Start_hour;Start_minute
253;106;24;K3;60;14;40;10624;6;23;59;19;0
254;106;24;K3;60;14;40;10624;7;05;0;0;0
255;106;24;K4;60;24;40;10624;1;05;0;0;0
256;106;24;K4;60;24;40;10624;1;23;50;19;0
257;106;24;K4;60;24;40;10624;2;05;0;0;0
258;106;24;K4;60;24;40;10624;2;23;50;19;0
259;106;24;K4;60;24;40;10624;3;05;0;0;0
260;106;24;K4;60;24;40;10624;3;23;50;19;0
261;106;24;K4;60;24;40;10624;4;05;0;0;0
262;106;24;K4;60;24;40;10624;4;23;50;19;0
263;106;24;K4;60;24;40;10624;5;05;0;0;0
264;106;24;K4;60;24;40;10624;5;23;50;19;0
265;106;24;K4;60;24;40;10624;6;05;0;0;0
266;106;24;K4;60;24;40;10624;6;23;59;19;0
267;106;24;K4;60;24;40;10624;7;05;0;0;0
268;106;24;K5;60;30;8;10624;1;05;0;0;0
269;106;24;K5;60;30;8;10624;1;23;50;19;0
270;106;24;K5;60;30;8;10624;2;05;0;0;0
271;106;24;K5;60;30;8;10624;2;23;50;19;0
272;106;24;K5;60;30;8;10624;3;05;0;0;0
273;106;24;K5;60;30;8;10624;3;23;50;19;0
274;106;24;K5;60;30;8;10624;4;05;0;0;0
275;106;24;K5;60;30;8;10624;4;23;50;19;0
276;106;24;K5;60;30;8;10624;5;05;0;0;0
277;106;24;K5;60;30;8;10624;5;23;50;19;0
278;106;24;K5;60;30;8;10624;6;05;0;0;0
279;106;24;K5;60;30;8;10624;6;23;59;19;0
280;106;24;K5;60;30;8;10624;7;05;0;0;0
281;106;24;K6;60;43;8;10624;1;05;0;0;0
282;106;24;K6;60;43;8;10624;1;23;50;19;0
283;106;24;K6;60;43;8;10624;2;05;0;0;0
284;106;24;K6;60;43;8;10624;2;23;50;19;0
285;106;24;K6;60;43;8;10624;3;05;0;0;0
286;106;24;K6;60;43;8;10624;3;23;50;19;0
287;106;24;K6;60;43;8;10624;4;05;0;0;0
288;106;24;K6;60;43;8;10624;4;23;50;19;0
289;106;24;K6;60;43;8;10624;5;05;0;0;0
290;106;24;K6;60;43;8;10624;5;23;50;19;0
291;106;24;K6;60;43;8;10624;6;05;0;0;0
292;106;24;K6;60;43;8;10624;6;23;59;19;0
293;106;24;K6;60;43;8;10624;7;05;0;0;0
294;106;25;K1;90;36;86;10625;1;07;30;5;0
295;106;25;K1;90;36;86;10625;2;07;30;5;0
296;106;25;K1;90;36;86;10625;3;07;30;5;0
297;106;25;K1;90;36;86;10625;4;07;30;5;0
298;106;25;K1;90;36;86;10625;5;07;30;5;0
299;106;25;K2;90;77;86;10625;1;07;30;5;0
300;106;25;K2;90;77;86;10625;2;07;30;5;0
301;106;25;K2;90;77;86;10625;3;07;30;5;0
302;106;25;K2;90;77;86;10625;4;07;30;5;0
303;106;25;K2;90;77;86;10625;5;07;30;5;0
304;106;25;K3;90;80;31;10625;1;07;30;5;0
305;106;25;K3;90;80;31;10625;2;07;30;5;0
306;106;25;K3;90;80;31;10625;3;07;30;5;0
307;106;25;K3;90;80;31;10625;4;07;30;5;0
308;106;25;K3;90;80;31;10625;5;07;30;5;0
309;106;25;K4;90;0;31;10625;1;07;30;5;0
310;106;25;K4;90;0;31;10625;2;07;30;5;0
311;106;25;K4;90;0;31;10625;3;07;30;5;0
312;106;25;K4;90;0;31;10625;4;07;30;5;0
313;106;25;K4;90;0;31;10625;5;07;30;5;0
314;106;25;K5;90;6;74;10625;1;07;30;5;0
315;106;25;K5;90;6;74;10625;2;07;30;5;0
316;106;25;K5;90;6;74;10625;3;07;30;5;0
317;106;25;K5;90;6;74;10625;4;07;30;5;0
318;106;25;K5;90;6;74;10625;5;07;30;5;0
319;106;25;K6;90;34;74;10625;1;07;30;5;0
320;106;25;K6;90;34;74;10625;2;07;30;5;0
321;106;25;K6;90;34;74;10625;3;07;30;5;0
322;106;25;K6;90;34;74;10625;4;07;30;5;0
323;106;25;K6;90;34;74;10625;5;07;30;5;0
324;106;27;K1;90;82;45;10627;1;16;45;7;30
325;106;27;K1;90;82;45;10627;2;16;45;7;30
326;106;27;K1;90;82;45;10627;3;16;45;7;30
327;106;27;K1;90;82;45;10627;4;16;45;7;30
328;106;27;K1;90;82;45;10627;5;16;45;7;30
329;106;27;K2;90;29;45;10627;1;16;45;7;30
330;106;27;K2;90;29;45;10627;2;16;45;7;30
331;106;27;K2;90;29;45;10627;3;16;45;7;30
332;106;27;K2;90;29;45;10627;4;16;45;7;30
333;106;27;K2;90;29;45;10627;5;16;45;7;30
334;106;27;K3;90;32;77;10627;1;16;45;7;30
335;106;27;K3;90;32;77;10627;2;16;45;7;30
336;106;27;K3;90;32;77;10627;3;16;45;7;30
337;106;27;K3;90;32;77;10627;4;16;45;7;30
338;106;27;K3;90;32;77;10627;5;16;45;7;30
339;106;27;K4;90;49;77;10627;1;16;45;7;30
340;106;27;K4;90;49;77;10627;2;16;45;7;30
341;106;27;K4;90;49;77;10627;3;16;45;7;30
342;106;27;K4;90;49;77;10627;4;16;45;7;30
343;106;27;K4;90;49;77;10627;5;16;45;7;30
344;106;27;K5;90;55;26;10627;1;16;45;7;30
345;106;27;K5;90;55;26;10627;2;16;45;7;30
346;106;27;K5;90;55;26;10627;3;16;45;7;30
347;106;27;K5;90;55;26;10627;4;16;45;7;30
348;106;27;K5;90;55;26;10627;5;16;45;7;30
349;106;27;K6;90;80;26;10627;1;16;45;7;30
350;106;27;K6;90;80;26;10627;2;16;45;7;30
351;106;27;K6;90;80;26;10627;3;16;45;7;30
352;106;27;K6;90;80;26;10627;4;16;45;7;30
353;106;27;K6;90;80;26;10627;5;16;45;7;30
354;107;1;K1;90;8;42;1071;1;09;0;6;0
355;107;1;K1;90;8;42;1071;2;09;0;6;0
356;107;1;K1;90;8;42;1071;3;09;0;6;0
357;107;1;K1;90;8;42;1071;4;09;0;6;0
358;107;1;K1;90;8;42;1071;5;09;0;6;0
359;107;1;K2;90;0;90;1071;1;09;0;6;0
360;107;1;K2;90;0;90;1071;2;09;0;6;0
361;107;1;K2;90;0;90;1071;3;09;0;6;0
362;107;1;K2;90;0;90;1071;4;09;0;6;0
363;107;1;K2;90;0;90;1071;5;09;0;6;0
364;107;1;K3;90;5;17;1071;1;09;0;6;0
365;107;1;K3;90;5;17;1071;2;09;0;6;0
366;107;1;K3;90;5;17;1071;3;09;0;6;0
367;107;1;K3;90;5;17;1071;4;09;0;6;0
368;107;1;K3;90;5;17;1071;5;09;0;6;0
369;107;1;K4;90;67;0;1071;1;09;0;6;0
370;107;1;K4;90;67;0;1071;2;09;0;6;0
371;107;1;K4;90;67;0;1071;3;09;0;6;0
372;107;1;K4;90;67;0;1071;4;09;0;6;0
373;107;1;K4;90;67;0;1071;5;09;0;6;0
374;107;1;K5;90;23;60;1071;1;09;0;6;0
375;107;1;K5;90;23;60;1071;2;09;0;6;0
376;107;1;K5;90;23;60;1071;3;09;0;6;0
377;107;1;K5;90;23;60;1071;4;09;0;6;0
378;107;1;K5;90;23;60;1071;5;09;0;6;0
379;107;1;K6;90;45;62;1071;1;09;0;6;0
380;107;1;K6;90;45;62;1071;2;09;0;6;0
381;107;1;K6;90;45;62;1071;3;09;0;6;0
382;107;1;K6;90;45;62;1071;4;09;0;6;0
383;107;1;K6;90;45;62;1071;5;09;0;6;0
384;107;1;K7;90;67;0;1071;1;09;0;6;0
385;107;1;K7;90;67;0;1071;2;09;0;6;0
386;107;1;K7;90;67;0;1071;3;09;0;6;0
387;107;1;K7;90;67;0;1071;4;09;0;6;0
388;107;1;K7;90;67;0;1071;5;09;0;6;0
389;107;1;K8;90;49;59;1071;1;09;0;6;0
390;107;1;K8;90;49;59;1071;2;09;0;6;0
391;107;1;K8;90;49;59;1071;3;09;0;6;0
392;107;1;K8;90;49;59;1071;4;09;0;6;0
393;107;1;K8;90;49;59;1071;5;09;0;6;0
394;107;2;K1;75;0;25;1072;1;13;30;9;0
395;107;2;K1;75;0;25;1072;1;17;0;13;30
396;107;2;K1;75;0;25;1072;2;13;30;9;0
397;107;2;K1;75;0;25;1072;2;17;0;13;30
398;107;2;K1;75;0;25;1072;3;13;30;9;0
399;107;2;K1;75;0;25;1072;3;17;0;13;30
400;107;2;K1;75;0;25;1072;4;13;30;9;0
401;107;2;K1;75;0;25;1072;4;17;0;13;30
402;107;2;K1;75;0;25;1072;5;13;30;9;0
403;107;2;K1;75;0;25;1072;5;17;0;13;30
404;107;2;K1;75;0;25;1072;6;19;0;6;0
405;107;2;K1;75;0;25;1072;7;19;0;6;0
406;107;2;K2;75;0;75;1072;1;13;30;9;0
407;107;2;K2;75;0;75;1072;1;17;0;13;30
408;107;2;K2;75;0;75;1072;2;13;30;9;0
409;107;2;K2;75;0;75;1072;2;17;0;13;30
410;107;2;K2;75;0;75;1072;3;13;30;9;0
411;107;2;K2;75;0;75;1072;3;17;0;13;30
412;107;2;K2;75;0;75;1072;4;13;30;9;0
413;107;2;K2;75;0;75;1072;4;17;0;13;30
414;107;2;K2;75;0;75;1072;5;13;30;9;0
415;107;2;K2;75;0;75;1072;5;17;0;13;30
416;107;2;K2;75;0;75;1072;6;19;0;6;0
417;107;2;K2;75;0;75;1072;7;19;0;6;0
418;107;2;K3;75;72;4;1072;1;13;30;9;0
419;107;2;K3;75;72;4;1072;1;17;0;13;30
420;107;2;K3;75;72;4;1072;2;13;30;9;0
421;107;2;K3;75;72;4;1072;2;17;0;13;30
422;107;2;K3;75;72;4;1072;3;13;30;9;0
423;107;2;K3;75;72;4;1072;3;17;0;13;30
424;107;2;K3;75;72;4;1072;4;13;30;9;0
425;107;2;K3;75;72;4;1072;4;17;0;13;30
426;107;2;K3;75;72;4;1072;5;13;30;9;0
427;107;2;K3;75;72;4;1072;5;17;0;13;30
428;107;2;K3;75;72;4;1072;6;19;0;6;0
429;107;2;K3;75;72;4;1072;7;19;0;6;0
430;107;2;K4;75;44;67;1072;1;13;30;9;0
